policy_id,policyholder_id,policy_type,start_date,end_date,premium_amount,coverage_amount,status
1,13,Family,2022-11-28,2023-11-28,1752.01,49976.81,Cancelled
2,22,Group,2024-06-01,2025-06-01,1522.09,10589.17,Cancelled
3,107,Family,2024-08-17,2025-08-17,1013.57,10571.65,Active
4,173,Group,2023-12-05,2024-12-04,3448.25,17618.4,Cancelled
5,167,Individual,2023-09-10,2024-09-09,4494.62,21199.31,Active
6,26,Family,2022-09-17,2023-09-17,4415.75,25867.85,Active
7,6,Family,2024-05-27,2025-05-27,4655.52,41992.98,Active
8,66,Individual,2023-11-19,2024-11-18,3614.27,42690.93,Cancelled
9,89,Individual,2025-03-22,2026-03-22,4487.46,21136.39,Active
10,11,Individual,2024-07-15,2025-07-15,1822.94,20386.78,Expired
11,94,Group,2025-01-25,2026-01-25,4639.4,11680.18,Cancelled
12,180,Group,2025-02-24,2026-02-24,3621.45,38494.31,Expired
13,164,Family,2024-09-07,2025-09-07,2489.8,31517.15,Active
14,97,Group,2024-04-10,2025-04-10,2164.14,15538.28,Expired
15,86,Family,2025-07-22,2026-07-22,4158.49,38739.98,Expired
16,200,Group,2024-01-17,2025-01-16,1142.66,20784.89,Active
17,150,Family,2024-02-14,2025-02-13,2443.63,49572.12,Active
18,76,Individual,2025-03-16,2026-03-16,2912.26,19588.24,Active
19,79,Individual,2023-03-06,2024-03-05,4428.15,39146.43,Expired
20,104,Family,2024-02-06,2025-02-05,2196.9,14346.06,Cancelled
21,124,Family,2023-12-11,2024-12-10,2348.32,41914.97,Expired
22,32,Family,2025-01-31,2026-01-31,1464.03,29909.38,Active
23,78,Family,2024-08-04,2025-08-04,3939.0,45775.99,Active
24,161,Group,2023-03-29,2024-03-28,2502.29,48982.42,Cancelled
25,23,Individual,2024-11-01,2025-11-01,4231.09,17921.61,Active
26,16,Family,2023-07-04,2024-07-03,1031.4,25752.32,Cancelled
27,75,Family,2023-12-10,2024-12-09,4680.61,41531.55,Cancelled
28,174,Individual,2022-12-30,2023-12-30,2692.15,24733.26,Expired
29,150,Individual,2024-07-30,2025-07-30,2724.88,24340.82,Active
30,180,Individual,2023-03-25,2024-03-24,4612.04,28064.47,Cancelled
31,52,Individual,2023-09-14,2024-09-13,2988.35,20259.19,Cancelled
32,11,Individual,2023-02-17,2024-02-17,3493.66,14185.19,Expired
33,97,Family,2023-05-02,2024-05-01,3185.57,16053.37,Cancelled
34,125,Individual,2024-02-29,2025-02-28,3255.62,35534.54,Expired
35,134,Family,2024-10-24,2025-10-24,3717.27,45511.28,Expired
36,128,Group,2025-08-17,2026-08-17,3680.27,18079.65,Cancelled
37,57,Individual,2024-08-30,2025-08-30,2360.88,48502.66,Expired
38,83,Individual,2025-02-03,2026-02-03,3100.43,44979.33,Cancelled
39,40,Family,2022-10-22,2023-10-22,3331.79,38725.27,Expired
40,17,Individual,2024-12-25,2025-12-25,3066.11,46620.57,Active
41,58,Individual,2025-03-08,2026-03-08,1162.53,10611.41,Expired
42,85,Individual,2023-06-01,2024-05-31,4202.58,44747.82,Expired
43,96,Group,2025-07-05,2026-07-05,2528.93,31192.31,Active
44,147,Individual,2024-06-01,2025-06-01,3714.29,42204.4,Cancelled
45,20,Group,2025-04-30,2026-04-30,2705.47,40184.73,Expired
46,138,Group,2023-06-28,2024-06-27,2671.36,48901.94,Expired
47,156,Group,2023-10-10,2024-10-09,1934.28,44591.07,Active
48,169,Individual,2022-09-03,2023-09-03,3962.98,22097.68,Cancelled
49,66,Family,2025-04-27,2026-04-27,1262.48,44395.34,Expired
50,198,Family,2025-02-23,2026-02-23,2536.64,25347.18,Active
51,165,Individual,2024-02-15,2025-02-14,1955.81,39178.03,Expired
52,15,Individual,2022-08-21,2023-08-21,2925.32,15636.2,Cancelled
53,184,Individual,2025-06-11,2026-06-11,3694.18,16054.95,Expired
54,106,Individual,2025-05-09,2026-05-09,3447.08,25467.32,Active
55,26,Family,2023-12-28,2024-12-27,4112.59,10809.12,Cancelled
